short_ticker,trade_date,close_price,moving average,last_price
yndx,2018-12-14,1860.5,1924.54,
yndx,2018-12-17,1869,1919.11,
yndx,2018-12-18,1856,1912.71,
yndx,2018-12-19,1894,1907.46,
yndx,2018-12-20,1864,1900.25,
yndx,2018-12-21,1860.5,1891.07,
yndx,2018-12-24,1840.5,1882.71,
yndx,2018-12-25,1828,1873.64,
yndx,2018-12-26,1832,1867.79,
yndx,2018-12-27,1880,1865.46,
yndx,2018-12-28,1916,1866.39,
yndx,2018-12-29,1930,1870.71,
yndx,2019-01-03,1859.5,1869.86,
yndx,2019-01-04,1916,1871.86,
yndx,2019-01-08,1926.5,1876.57,
yndx,2019-01-09,1960,1883.07,
yndx,2019-01-10,1985,1892.29,
yndx,2019-01-11,1983,1898.64,
yndx,2019-01-14,1992.5,1907.82,
yndx,2019-01-15,1999.5,1917.75,
yndx,2019-01-16,1980,1927.71,
yndx,2019-01-17,1993.5,1939.54,
yndx,2019-01-18,2044.5,1954.71,
yndx,2019-01-21,2044.5,1966.46,
yndx,2019-01-22,2051,1976.11,
yndx,2019-01-23,2060,1985.39,
yndx,2019-01-24,2083,2001.36,
yndx,2019-01-25,2152,2018.21,
yndx,2019-01-28,2167,2035.39,
yndx,2019-01-29,2152,2049.11,
yndx,2019-01-30,2157,2061.39,
yndx,2019-01-31,2212,2077.75,
yndx,2019-02-01,2197.2,2092.37,
yndx,2019-02-04,2212,2107.55,
yndx,2019-02-05,2250.8,2126.89,
yndx,2019-02-06,2244,2144.79,
yndx,2019-02-07,2192.2,2155.34,
yndx,2019-02-08,2163.4,2163.83,
yndx,2019-02-11,2196,2174.19,
yndx,2019-02-12,2230,2186.33,
yndx,2019-02-13,2258,2198.83,
yndx,2019-02-14,2264,2206.83,
yndx,2019-02-15,2200.2,2209.2,
yndx,2019-02-18,2161,2209.84,
yndx,2019-02-19,2126.6,2207.67,
yndx,2019-02-20,2166.2,2204.4,
yndx,2019-02-21,2115,2198.53,
yndx,2019-02-22,2133,2192.89,
yndx,2019-02-25,2214.6,2190.3,
yndx,2019-02-26,2169.6,2184.99,
yndx,2019-02-27,2163,2182.9,
yndx,2019-02-28,2208,2186.09,
yndx,2019-03-01,2247.4,2189.76,
yndx,2019-03-04,2303.6,2195.01,
yndx,2019-03-05,2340.2,2200.89,
yndx,2019-03-06,2362,2207.89,
yndx,2019-03-07,2329.2,2217.1,
yndx,2019-03-11,2346.4,2230.34,
yndx,2019-03-12,2355,2246.66,
yndx,2019-03-13,2345,2259.43,
yndx,2019-03-14,2303.4,2272.89,
yndx,2019-03-15,2352.8,2288.59,
yndx,2019-03-18,2306,2295.11,
yndx,2019-03-19,2318.8,2305.77,
yndx,2019-03-20,2301.4,2315.66,
yndx,2019-03-21,2274,2320.37,
yndx,2019-03-22,2276.4,2322.44,
yndx,2019-03-25,2293.8,2321.74,
yndx,2019-03-26,2315.8,2320.0,
yndx,2019-03-27,2268,2313.29,
yndx,2019-03-28,2317.8,2312.47,
yndx,2019-03-29,2293.6,2308.7,
yndx,2019-04-01,2243.4,2300.73,
yndx,2019-04-02,2249,2293.87,
yndx,2019-04-03,2268.2,2291.36,
yndx,2019-04-04,2280.8,2286.21,
yndx,2019-04-05,2298,2285.64,
yndx,2019-04-08,2301.6,2284.41,
yndx,2019-04-09,2346,2287.6,
yndx,2019-04-10,2350.8,2293.09,
yndx,2019-04-11,2434,2304.34,
yndx,2019-04-12,2435.2,2314.44,
yndx,2019-04-15,2453,2324.24,
yndx,2019-04-16,2499.8,2340.8,
yndx,2019-04-17,2451,2350.31,
yndx,2019-04-18,2383.2,2356.71,
yndx,2019-04-19,2415.2,2368.99,
yndx,2019-04-22,2400,2379.77,
yndx,2019-04-23,2412.8,2390.1,
yndx,2019-04-24,2410.6,2399.37,
yndx,2019-04-25,2407.6,2407.2,
yndx,2019-04-26,2389,2413.44,
yndx,2019-04-29,2406,2417.73,
yndx,2019-04-30,2391,2420.6,
yndx,2019-05-02,2413,2419.1,
yndx,2019-05-03,2414,2417.59,
yndx,2019-05-06,2407,2414.3,
yndx,2019-05-07,2388.6,2406.36,
yndx,2019-05-08,2379,2401.21,
yndx,2019-05-10,2340,2398.13,
yndx,2019-05-13,2286.6,2388.94,
yndx,2019-05-14,2299,2381.73,
yndx,2019-05-15,2312,2374.53,
yndx,2019-05-16,2392,2373.2,
yndx,2019-05-17,2425,2374.44,
yndx,2019-05-20,2407.8,2375.79,
yndx,2019-05-21,2392.4,2374.81,
yndx,2019-05-22,2424.8,2377.23,
yndx,2019-05-23,2365,2373.8,
yndx,2019-05-24,2383.4,2371.61,
yndx,2019-05-27,2404.6,2371.44,
yndx,2019-05-28,2280.2,2363.7,
yndx,2019-05-29,2350.2,2361.64,
yndx,2019-05-30,2379.6,2364.47,
yndx,2019-05-31,2336.6,2368.04,
yndx,2019-06-03,2319,2369.47,
yndx,2019-06-04,2341,2371.54,
yndx,2019-06-05,2361,2369.33,
yndx,2019-06-06,2389,2366.76,
yndx,2019-06-07,2418.6,2367.53,
yndx,2019-06-10,2435,2370.57,
yndx,2019-06-11,2494.8,2375.57,
